,wbcode,country,ctrlcrp,goveff,polstab,regqual,lawrule,voicacc,colstart,colend,coldur,freesince,lastcol,cnticodenum
104,SYC,SEYCHELLES,63.77778,55.0,79.71308,26.3,60.980423,50.16492,1756.0,1976.0,220.0,since 1970,britain,Africa
105,SYR,SYRIA,28.0,19.1,29.641153,14.0,38.868572,6.390011,1923.0,1946.0,23.0,since 1945,france,Asia
106,TCD,CHAD,10.222222,15.2,10.814615,15.9,12.949048,14.93719,1910.0,1960.0,50.0,since 1945,france,Africa
107,TGO,TOGO,22.1,8.4,29.595,25.6,19.625713,12.388566,1885.0,1960.0,75.0,since 1945,france,Africa
108,THA,THAILAND,49.0,63.7,38.213078,60.6,58.733334,49.53809,1867.0,1941.0,74.0,since 1945,france,Asia
109,TLS,TIMOR-LESTE,26.714285,15.571428,28.58798,8.428572,17.557823,49.628845,1642.0,1975.0,333.0,since 1970,portugal,Asia
110,TON,TONGA,27.444445,35.3,64.68974,21.6,55.581482,45.64561,1900.0,1970.0,70.0,since 1970,britain,Oceania
111,TTO,TRINIDAD AND TOBAGO,59.3,65.2,48.337692,72.4,55.97524,66.69265,1592.0,1962.0,370.0,since 1945,britain,North America
112,TUN,TUNISIA,62.0,69.1,53.18846,56.5,56.92762,20.272884,1881.0,1956.0,75.0,since 1945,france,Africa
113,TUV,TUVALU,55.5,41.125,96.46153,40.5,86.94762,79.99531,1892.0,1979.0,87.0,since 1970,britain,Oceania
114,TZA,TANZANIA,24.2,35.8,36.268845,38.4,42.73238,38.101967,1891.0,1963.0,72.0,since 1945,britain,Africa
115,UGA,UGANDA,21.5,35.4,11.571539,51.3,29.584763,27.525818,1894.0,1962.0,68.0,since 1945,britain,Africa
116,URY,URUGUAY,78.9,68.0,68.47154,66.3,64.692856,77.025505,1625.0,1828.0,203.0,prior to 1880,spain,South America
117,USA,UNITED STATES,92.2,92.8,66.11884,93.4,92.41809,89.18106,1607.0,1783.0,176.0,prior to 1880,britain,North America
118,VCT,ST. VINCENT AND THE GRENADINES,70.77778,61.0,80.43884,63.9,68.761375,80.9692,1762.0,1979.0,217.0,since 1970,britain,North America
119,VEN,VENEZUELA,15.6,21.3,17.441923,20.3,13.708571,36.985542,1556.0,1821.0,265.0,prior to 1880,spain,South America
120,VNM,VIETNAM,27.7,40.7,56.60154,29.3,39.826668,8.694245,1887.0,1954.0,67.0,since 1945,france,Asia
121,VUT,VANUATU,47.444443,39.1,87.354614,32.8,53.839153,64.631096,1887.0,1980.0,93.0,since 1970,france,Oceania
122,WSM,SAMOA,60.0,59.1,88.2673,48.8,75.07476,67.22641,1900.0,1920.0,20.0,since 1880,britain,Oceania
123,YEM,YEMEN,28.1,20.1,9.560385,22.7,13.050476,19.652496,1959.0,1967.0,8.0,since 1945,britain,Asia
124,ZAF,SOUTH AFRICA,68.6,76.3,35.361923,64.3,56.685238,71.49373,1652.0,1920.0,268.0,since 1880,britain,Africa
125,ZMB,ZAMBIA,22.6,21.3,40.353848,36.2,34.727142,37.861897,1923.0,1964.0,41.0,since 1945,britain,Africa
126,ZWE,ZIMBABWE,13.2,15.8,11.773461,5.7,9.044762,12.380584,1923.0,1980.0,57.0,since 1970,britain,Africa
